Company,Award Title,Agency,Branch,Phase,Program,Award Amount,Number Employees,Company Website,City,State,Zip,Distance
MV Innovative Technologies LLC (DBA: Opt,Laser Additive Manufacturing of Seven Thousand Series Aluminum Aircraft Components (LAM-STAAC),Department of Defense,Navy,Phase I,STTR,"$124,913.00 ",14.0,,Dayton,OH,45402,59.86230148618187
"Etegent Technologies, Ltd.",Cognitive Approaches to Integrated Intelligence Production,Department of Defense,Air Force,Phase II,SBIR,"$1,499,695.00 ",25.0,http://www.etegent.com,Cincinnati,OH,45212,59.86230148618187
"Cornerstone Research Group, Incorporated",eHealth Monitoring Garment with Distributive Sensing,Department of Defense,Defense Health Program,Phase II,SBIR,"$999,901.00 ",71.0,,Miamisburg,OH,45342,59.86230148618187
"EUCLID TECHLABS, LLC",An Ultra-High Gradient Travelling Wave Gun,Department of Energy,,Phase I,SBIR,"$149,891.00 ",17.0,,Solon,OH,44139-1866,59.86230148618187
Applied Sciences,Pyramid Nanostructured Coatings for Stray Light Suppression,National Aeronautics and Space Administration,,Phase II,SBIR,"$749,762.00 ",10.0,,Cedarville,OH,45314-0579,59.86230148618187
"Powdermet, Inc.",Non-toxic Hydrophobic Coatings for Improved Infrared and Red Phosphorus Obscurant Performance,Department of Defense,Army,Phase I,SBIR,"$104,741.43 ",26.0,http://www.powdermetinc.com,Euclid,OH,44117,59.86230148618187
"AMERICAN TECHNICAL COATINGS, INC.",Lightweight Bullet and Fragment Impact Protection for Mobile Missile Launcher,Department of Defense,Army,Phase II,SBIR,"$586,731.80 ",9.0,,Westlake,OH,44145,59.86230148618187
Novaa Ltd,Same Frequency Simultaneous Transmit and Receive Radio,Department of Defense,Army,Phase I,SBIR,"$99,998.74 ",2.0,http://novaarf.com,Dublin,OH,43016,59.86230148618187
"Cornerstone Research Group, Incorporated",Biodynamic Acceleration Sensor System,Department of Defense,Air Force,Phase I,SBIR,"$149,988.00 ",67.0,http://www.CRGrp.com,Miamisburg,OH,45342,59.86230148618187
"PH MATTER, LLC",Multi-Functional Catalyst Support,Department of Energy,,Phase II,SBIR,"$1,000,000.00 ",9.0,,Columbus,OH,43229-1120,59.86230148618187
Scientific Forming Technologies Corporation,Efficient 3-D Finite Element Process Modeling to Enable Linear Friction Welding of Aerospace Components,Department of Defense,Air Force,Phase I,SBIR,"$149,971.00 ",59.0,http://www.deform.com,Columbus,OH,43235,59.86230148618187
"Spectral Energies, LLC",Novel Methodology for the Rapid Acoustic Optimization of Supersonic Multi-Stream 3D Nozzles,National Aeronautics and Space Administration,,Phase I,SBIR,"$124,332.00 ",34.0,http://www.spectralenergies.com,Dayton,OH,45430-1062,59.86230148618187
"PH MATTER, LLC",Engineered Silicon for Improved Performance EV Batteries,Department of Energy,,Phase II,SBIR,"$1,010,000.00 ",9.0,,Columbus,OH,43229-1120,59.86230148618187
"Eccrine Systems, Inc.",Cognition Biomarker Measurement in Sweat as an Index of Human Performance,Department of Defense,Air Force,Phase II,SBIR,"$749,976.00 ",24.0,,Cincinnati,OH,45212,59.86230148618187
"SK Infrared, LLC","Large Fill Factor, High Aspect Ratio Dual Band Superlattice Detectors and Focal Plane Arrays",Department of Defense,Army,Phase I,SBIR,"$100,000.00 ",7.0,http://www.skinfrared.com,Columbus,OH,43212,59.86230148618187
Bio-Missions LLC ,An integrated Process for Butanol Production from Cellulosic Biomass and CO2 Using Engineered Clostridia in a Linear Immobilized Bioreactor,Department of Energy,,Phase I,SBIR,"$150,000.00 ",3.0,,Reynoldsburg,OH,43068-9708,59.86230148618187
"Innovative Scientific Solutions, Inc.",Arc jet Test-Article Surface Recession Rate Monitor,Department of Defense,Air Force,Phase II,SBIR,"$400,000.00 ",100.0,http://www.innssi.com,Dayton,OH,45459,61.621386306961114
"Spectral Energies, LLC",Development of Burst-mode Laser based High-speed Microwave and Thomson Scattering Instruments for Fusion Plasma Devices,Department of Energy,,Phase I,STTR,"$149,844.45 ",34.0,,Beavercreek,OH,45430-1062,61.621386306961114
ASYMMETRIC TECHNOLOGIES LLC,Variable Flux Machines for Hybrid Electric Vehicles,Department of Energy,,Phase I,STTR,"$149,824.84 ",20.0,,Columbus,OH,43212-2859,61.621386306961114
"EUCLID TECHLABS, LLC",Low RF loss DC conductive Ceramic for High Power Input Coupler Windows for SRF Cavities,Department of Energy,,Phase II,SBIR,"$999,932.00 ",17.0,,Solon,OH,44139-1866,61.621386306961114
"HYPER TECH RESEARCH, INC.",Advanced Rotor Coils for Conduction Cooled Superconducting Multi-Megawatt Motors for Aircraft Propulsion,National Aeronautics and Space Administration,,Phase I,SBIR,"$124,994.00 ",13.0,,Columbus,OH,43228-2412,61.621386306961114
"Faraday Technology, Inc. ",Electro-dewatering of Cellulosic Nanomaterials,Department of Energy,,Phase I,SBIR,"$150,000.00 ",200.0,,Englewood,OH,45315-8983,61.621386306961114
Polylux ,SBIR Phase I: AuraPeel- On-Demand Light Switchable Adhesives,National Science Foundation,,Phase I,SBIR,"$225,000.00 ",1.0,,Akron,OH,44311,61.621386306961114
"Spectral Energies, LLC",High Bandwidth Optical Sensor for Time Resolved Detection of Multiple Species Related to Explosives and Detonations,Department of Defense,Defense Threat Reduction Agency,Phase II,SBIR,"$746,461.00 ",28.0,,Dayton,OH,45431,68.44251355806578
"NERVIVE, INC.","Early Feasibility Clinical Study of the VitalFlow Stimulator, an Emergency Treatment for Ischemic Stroke",Department of Health and Human Services,,Phase II,SBIR,"$1,486,705.00 ",,,Akron,OH,44311-4403,68.44251355806578
MATERIALS ENGINEERING AND TECHNICAL SUPPORT SERVICES CORP.,Decontamination of Category A Viruses on Porous Surfaces and Sensitive Equipment,Environmental Protection Agency,,Phase I,SBIR,"$99,212.00 ",20.0,http://www.metss.com,Westerville,OH,43082,68.44251355806578
"Etegent Technologies, Ltd.",Low-Shot Detection in Remote Sensing Imagery,Department of Defense,National Geospatial-Intelligence Agency,Phase II,SBIR,"$999,865.00 ",24.0,,Cincinnati,OH,45212,68.44251355806578
X-ScaleSolutions,Unified and Federated Storage Middleware for Unstructured Big Data Analytics and Management,Department of Energy,,Phase I,SBIR,"$150,000.00 ",5.0,,Columbus,OH,43230-2994,68.44251355806578
"UES, Inc.","High Temperature, High Performance Wire Insulation (17-RD-964)",Department of Defense,Navy,Phase II,SBIR,"$750,004.00 ",200.0,http://www.ues.com,Dayton,OH,45432,68.44251355806578
Haima Therapeutics LLC,Logistical and Functional Evaluation of SynthoPlateTM (Intravenous Synthetic Platelet) Technology for Pre-Hospital Hemorrhage Control,Department of Defense,Army,Phase I,SBIR,"$99,967.18 ",1.0,http://www.haimatherapeutics.com,Cleveland,OH,44106,68.44251355806578
UNIVERSAL TECHNOLOGY CORPORATION,Additive Manufacturing Sensor Fusion Technologies for Process Monitoring and Control.,Department of Defense,Defense Logistics Agency,Phase I,STTR,"$99,989.00 ",215.0,http://www.utcdayton.com/,Dayton,OH,45432,68.44251355806578
Nu Waves Ltd.,ADvanced Rf environment simulator for mOde 5 and IdenTification friend or foe (ADROIT),Department of Defense,Army,Phase II,SBIR,"$661,041.80 ",52.0,http://www.nuwaves.com,Middletown,OH,45044,68.44251355806578
"D'Angelo Technologies, LLC",Advanced Ship-handling Simulators,Department of Defense,Navy,Phase I,STTR,"$125,000.00 ",10.0,,Beavercreek,OH,45434,68.44251355806578
HNB Therapeutics LLC ,Nanofiber Expanded CD34+ Stem Cells for Osteoporosis Therapy,Department of Health and Human Services,,Phase I,STTR,"$224,999.00 ",,,Columbus,OH,43214-2120,69.77040644726823
